system:index,ET_mm,NDVI,P_mm,SM,T2m_C,date_str,station_id,.geo
9_00000000000000000004,0.0,0.4388655447298495,83.55068628464893,0.3213803449281029,1.7724501576858902,2010-10-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000005,0.0,0.6108696043165469,105.1605827345265,0.401524001745869,6.417666033189097,2010-10-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000006,0.0,0.2848621033544878,99.57151088904817,0.48212867937407916,3.813061999323601,2010-10-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000007,0.0,0.4005652096342551,106.32214867951723,0.4430963820798604,10.499111282389492,2010-10-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000008,0.0,0.606713559322034,171.83235312741746,0.368790298992773,11.17076326722446,2010-10-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000009,0.0,0.5616695079086117,90.86837960295182,0.27945175573151226,4.453544694468113,2010-10-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000000,0.0,0.45856923766816154,244.51066308812713,0.3970458847524875,7.4223616390485105,2010-11-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000001,0.0,0.09477626582278484,117.26629261318729,0.3809917916496881,-4.585668945312476,2010-11-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000002,0.0,0.5136448509485094,120.63729843236135,0.44132274706943025,2.7420546672101063,2010-11-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000003,0.0,0.39412193060498213,141.47954232158187,0.30109159802202645,1.0063051705683055,2010-11-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000004,0.0,0.1686059787422498,112.23203020121169,0.3419635188167765,-5.367898967732762,2010-11-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000005,0.0,0.4929281924460432,149.4736346100732,0.4094938374251771,0.9426706876686379,2010-11-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000006,0.0,0.07863741965105603,132.01206776540275,0.4847619894517084,-2.0571025001062218,2010-11-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000007,0.0,0.3572845673505799,128.90643225473343,0.4502014241826843,5.992249591429271,2010-11-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000008,0.0,0.3784680642283676,334.47782833973923,0.3919594974841102,7.462750608935961,2010-11-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000009,0.0,0.2640444151275286,142.84743661997814,0.2913168989292138,-1.3683039821094896,2010-11-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000000,0.0,0.4065210762331839,130.32104756992493,0.4018356391667251,0.47405414666832435,2010-12-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000001,0.0,-0.02582449817518248,98.130052429309,0.3389395981383839,-10.189002343047415,2010-12-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000002,0.0,0.43872095754290874,79.54570612437895,0.4243283017648699,-3.441953757957153,2010-12-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000003,0.0,0.26380276538804637,125.98687205195851,0.25817061997817503,-5.143549170443149,2010-12-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000004,0.0,0.010016340160284949,102.02665392163586,0.310523925997495,-10.851830395140174,2010-12-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000005,0.0,0.32530459459459465,94.17873285828735,0.37723092552569276,-3.7188419479260117,2010-12-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000006,0.0,-0.0037745802238805977,87.6743531421651,0.4530588047999419,-7.15613046405752,2010-12-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000007,0.0,0.3574622212310438,62.38064711993555,0.4552117925366583,-0.14477553218733788,2010-12-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000008,0.0,0.29050280999107947,160.331450000392,0.39983248816974243,0.7121515279152492,2010-12-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000009,0.0,0.0945448275862069,107.43916684169133,0.2384341999181335,-7.4339828518027575,2010-12-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000000,0.0,0.3931132735426009,28.151754160312265,0.37987271296069236,2.2388350824604353,2011-01-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000001,0.0,-0.0026842371323529406,19.84434843063355,0.32620273562644025,-8.340402682736602,2011-01-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000002,0.0,0.41299701897018964,21.549662310041168,0.4201903304433435,-1.445207615467245,2011-01-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000003,0.0,0.26784306049822065,31.444692155220327,0.2427258746055521,-2.876488541029503,2011-01-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000004,0.0,0.03344488434163701,22.105884041798866,0.30019283379148437,-9.170303001437572,2011-01-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000005,0.0,0.29690966726618706,54.54255760659417,0.36505706018681156,-1.5389048185279677,2011-01-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000006,0.0,-0.014392917847025493,33.00183713814397,0.437508452511439,-5.121393740836404,2011-01-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000007,0.0,0.27799460303300627,14.241453189492548,0.4509025934442253,1.4456365090199408,2011-01-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000008,0.0,0.37765709188224805,37.07044925230301,0.377651163555489,2.246557143498085,2011-01-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000009,0.0,0.12476456310679612,18.82579684299409,0.21964934337327682,-5.39241871490208,2011-01-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000000,0.0,0.36986627802690586,64.46367420829465,0.39383252062605106,5.058757313270763,2011-02-01,A017 Bormida a Cassine (Caranzano),"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000001,0.0,0.025301081081081086,34.38447945409542,0.3199726488950441,-5.380236904226596,2011-02-01,A038 Chisone a Soucherres Basses,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000002,0.0,0.4017084010840108,35.22106663429102,0.43703868007918356,1.0946970539041554,2011-02-01,A040 Chisone a S. Martino,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000003,0.0,0.2635103647686833,38.696596848158634,0.25185418722892566,0.3083840149577629,2011-02-01,A049 Dora Baltea a Tavagnasco,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000004,0.0,0.06443348095659877,33.12222562541574,0.2962186693406084,-5.961992905433438,2011-02-01,A057 Dora Riparia a Ulzio (Oulx),"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000005,0.0,0.298974595323741,39.89323810879275,0.36030349457006666,0.3094884639163897,2011-02-01,A073 Grana a Monterosso,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000006,0.0,0.004131981566820275,34.99669175135041,0.4336151372057032,-3.066642687910789,2011-02-01,A106 Po a Crissolo,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000007,0.0,0.31650405887600364,24.546046965681587,0.45770290895405885,3.8349397249247557,2011-02-01,A107 Po a Carignano,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000008,0.0,0.34253033006244427,82.15917857133525,0.3895769621196546,4.662048960540277,2011-02-01,A141 Scrivia a Serravalle,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000009,0.0,0.16533295254833041,33.74704085753966,0.2140483085216663,-2.077751108715926,2011-02-01,A146 Sesia a Campertogno,"{""type"":""MultiPoint"",""coordinates"":[]}"
